*****************************
Basic coeficients
*****************************
Alpha, Cd
  -5.000    ,    .6731E-02
  -4.000    ,    .6731E-02
  -3.000    ,    .6731E-02
  -2.000    ,    .6731E-02
  -1.000    ,    .6731E-02
    .000    ,    .6731E-02
   1.000    ,    .6731E-02
   2.000    ,    .6731E-02
   3.000    ,    .6731E-02
   4.000    ,    .6731E-02
   5.000    ,    .6731E-02

Alpha, CL
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Cm
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Cyb
  -5.000    ,   -.5454E-02
  -4.000    ,   -.5454E-02
  -3.000    ,   -.5454E-02
  -2.000    ,   -.5454E-02
  -1.000    ,   -.5454E-02
    .000    ,   -.5454E-02
   1.000    ,   -.5454E-02
   2.000    ,   -.5454E-02
   3.000    ,   -.5454E-02
   4.000    ,   -.5454E-02
   5.000    ,   -.5454E-02

Alpha, Cnb
  -5.000    ,   -.2622E-03
  -4.000    ,   -.2622E-03
  -3.000    ,   -.2622E-03
  -2.000    ,   -.2622E-03
  -1.000    ,   -.2622E-03
    .000    ,   -.2622E-03
   1.000    ,   -.2622E-03
   2.000    ,   -.2622E-03
   3.000    ,   -.2622E-03
   4.000    ,   -.2622E-03
   5.000    ,   -.2622E-03

Alpha, Clb
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Q_Qinf
  -5.000    ,      nan    
  -4.000    ,   -.1000E-29
  -3.000    ,   -.1000E-29
  -2.000    ,   -.1000E-29
  -1.000    ,   -.1000E-29
    .000    ,   -.1000E-29
   1.000    ,   -.1000E-29
   2.000    ,   -.1000E-29
   3.000    ,   -.1000E-29
   4.000    ,   -.1000E-29
   5.000    ,   -.1000E-29

Alpha, Epslon
  -5.000    ,     .000    
  -4.000    ,   -.1000E-29
  -3.000    ,   -.1000E-29
  -2.000    ,   -.1000E-29
  -1.000    ,   -.1000E-29
    .000    ,   -.1000E-29
   1.000    ,   -.1000E-29
   2.000    ,   -.1000E-29
   3.000    ,   -.1000E-29
   4.000    ,   -.1000E-29
   5.000    ,   -.1000E-29

Alpha, d_Epslon
  -5.000    ,    .2919E-28
  -4.000    ,   -.1000E-29
  -3.000    ,   -.1000E-29
  -2.000    ,   -.1000E-29
  -1.000    ,   -.1000E-29
    .000    ,   -.1000E-29
   1.000    ,   -.1000E-29
   2.000    ,   -.1000E-29
   3.000    ,   -.1000E-29
   4.000    ,   -.1000E-29
   5.000    ,   -.1000E-29

Alpha, CLq
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Cmq
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, CLad_Basic
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Cmad_Basic
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Clp
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Cyp
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Cnp
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Cnr
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

Alpha, Clr
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

*****************************
Flap terms
*****************************
*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,     .000    
  -5.000    ,     .000    
  -4.000    ,     .000    
  -3.000    ,     .000    
  -2.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    

DeltaElev, CL_Elev

DeltaElev, Cm_Elev

DeltaElev, CLa_Elev

DeltaElev, Cha_Elev

DeltaElev, Chd_Elev



